Gene	cmp0_2297	cmp0_2298	cmp0_2306	cmp0_2307	cmp0_2353	cmp0_2373	cmp0_2414	cmp0_2427	cmp0_2432	cmp0_2460	cmp0_2461	cmp0_2479	cmp0_2510	cmp0_2512	cmp0_2568	cmp0_2581	cmp0_2582	cmp0_2619	cmp0_2636	cmp0_2679	cmp0_2719	cmp0_2759	cmp0_2771	cmp0_2796	cmp0_2847	cmp0_2886	cmp0_2901	cmp0_2964	cmp0_3029	cmp0_3110	cmp0_3165	cmp0_3180	cmp0_3191	cmp0_3215	cmp0_3221	cmp0_3225	cmp0_3243	cmp0_3321	cmp0_3353	cmp0_3391	cmp0_3410	cmp0_3420	cmp0_3429	cmp0_3438	cmp0_3454	cmp0_3584	cmp0_3612	cmp0_3633	cmp0_3662	cmp0_3719	cmp0_3833	cmp0_3846	cmp0_3863	cmp0_3901	cmp0_3967	cmp0_3974	cmp0_4042	cmp0_4047	cmp0_4071	cmp0_4192	cmp0_4226	cmp0_4347	cmp0_4373	cmp0_4422	cmp0_4428	cmp0_4433	cmp0_4469	cmp0_4500	cmp0_4511	cmp0_4524	cmp0_4535	cmp0_4544	cmp0_4550	cmp0_4558	cmp0_4608	cmp0_4678	cmp0_4712	cmp0_4716	cmp0_4741	cmp1_4827	cmp1_4850	cmp1_4868	cmp1_4885	cmp1_4892	cmp1_4896	cmp1_4897	cmp1_4901	cmp1_4915	cmp1_4945	cmp1_5015	cmp1_5153	cmp1_5176	cmp1_5224	cmp1_5251	cmp1_5257	cmp1_5276	cmp1_5328	cmp2_5646	cmp2_5781	cmp2_5823	cmp2_5846	cmp2_5866	cmp2_5915	cmp2_5954	cmp2_5980	cmp2_6008	cmp2_6080	cmp2_6117	cmp2_6127	cmp2_6146	cmp2_6147	cmp2_6166	cmp2_6177	cmp2_6206	cmp2_6378	cmp2_6432	cmp2_6504	cmp2_6599	cmp2_6640	cmp2_6673	gmp_6732	gmp_6736	gmp_6741	gmp_6754	gmp_6756	gmp_6765	gmp_6785	gmp_6789	gmp_6795	gmp_6806	gmp_6814	gmp_6818	gmp_6825	gmp_6830	gmp_6833	gmp_6834	gmp_6835	gmp_6846	gmp_6852	gmp_6854	gmp_6873	gmp_6874	gmp_6886	gmp_6893	gmp_6895	gmp_6897	gmp_6901	gmp_6902	gmp_6919	gmp_6946	gmp_6953	gmp_6955	gmp_6968	gmp_6974	gmp_6977	gmp_6978	gmp_7008	gmp_7012	gmp_7016	gmp_7017	gmp_7022	gmp_7028	gmp_7038	gmp_7046	gmp_7057	gmp_7069	gmp_7073	gmp_7083	gmp_7087	gmp_7096	gmp_7106	gmp_7108	gmp_7112	gmp_7114	gmp_7116	gmp_7132	gmp_7139	gmp_7140	gmp_7160	gmp_7161	gmp_7166	gmp_7171	gmp_7179	gmp_7183	gmp_7190	gmp_7196	gmp_7202	gmp_7204	gmp_7210	gmp_7216	gmp_7232	gmp_7254	gmp_7265	gmp_7268	gmp_7269	gmp_7270	gmp_7272	gmp_7274	gmp_7279	gmp_7286	gmp_7289	gmp_7290	gmp_7304	gmp_7305	gmp_7307	gmp_7314	gmp_7315	gmp_7318	gmp_7319	gmp_7323	gmp_7332	gmp_7333	gmp_7340	gmp_7354	gmp_7361	gmp_7363	gmp_7364	gmp_7370	gmp_7378	gmp_7382	gmp_7393	gmp_7395	gmp_7412	gmp_7416	gmp_7421	gmp_7430	gmp_7433	gmp_7434	gmp_7450	gmp_7454	gmp_7461	gmp_7497	gmp_7500	gmp_7502	gmp_7509	gmp_7527	gmp_7530	gmp_7536	gmp_7540	gmp_7551	gmp_7556	gmp_7565	gmp_7566	gmp_7572	gmp_7574	gmp_7581	gmp_7598	gmp_7604	gmp_7607	gmp_7608	gmp_7612	gmp_7614	gmp_7619	gmp_7623	gmp_7645	gmp_7647	gmp_7650	gmp_7665	gmp_7680	gmp_7688	gmp_7692	gmp_7696	gmp_7701	gmp_7733	gmp_7739	gmp_7742	gmp_7746	gmp_7752	gmp_7768	gmp_7769	gmp_7776	gmp_7779	gmp_7780	gmp_7789	gmp_7793	gmp_7815	gmp_7816
SLC35E2B_cluster9	1.985062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.395953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.399064	0	0	1.624207	0	0	0	0	0	0	0	0	2.304059	0	0	0	0	0	1.77817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.063774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.025527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.345739	0	0	0	0	0	0	0	0	0	1.95298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.316051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SKI_cluster9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.549084	0	0	0	0	0	0	0	0	0	1.661084	2.335913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.709427	0	0	0	0	0	0	0	0	1.891024	0	0	0	0	2.067201	0	2.063499	0	0	0	1.843535	2.085409	0	0	0	0	0	0	0	0	0	0	0	0	0	1.910147	0	0	0	0	0	0	0	0	0	0	0	0	1.795219	0	0	0	0	0	0	0	1.964296	0	0	0	0	1.734024	0	0	0	0	0	0	0	0	0	0	0	0	2.909479	0	1.729086	0	0	0	0	1.730919	1.81182	0	0	0	0	0	0	1.872461	1.993943	1.719229	1.792155	0	2.099998	0	0	2.041139	0	0	2.293155	0	0	0	0	0	0	2.695058	0	0	0	0	0	0	0	1.924011	2.114271	0	0	0	0	0	0	0	0	1.911073	0	0	0	0	0	1.882262	0	0	0	0	2.022961	0	0	1.89915	0	0	0	0	1.639326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.39243	0	2.075652	1.79445	0	0	0	1.819626	0	1.832144	0	0	0	1.884627	0	1.976644	0
PARK7_cluster9	0.319565	0.198785	0.161451	0.195596	0.104966	0.141692	0.239964	0	0.140937	0.246417	0.229612	0	0.1864	0.212678	0.17933	0.145785	0.243222	0.323974	0.223296	0.126289	0.258142	0.155579	0.246816	0.204627	0.190556	0.199762	0	0.347901	0.157974	0.22777	0.222121	0.283122	0.227267	0.287691	0.142881	0.179042	0.211234	0.145975	0.113294	0	0.220985	0.191408	0	0.187938	0.141399	0.276456	0.156237	0.205905	0.133673	0.313484	0.120562	0	0.180832	0.233355	0	0.216392	0.221151	0.128341	0.205933	0.158178	0.205233	0.237006	0.134728	0.306503	0.179461	0.129334	0.156864	0.124009	0.227081	0.283967	0.251716	0.205803	0.237803	0.262386	0.274093	0.122784	0.127613	0.157614	0.194932	0.363399	0.141845	0.304423	0.197519	0.196408	0.353661	0.204708	0.179828	0.125354	0.234971	0.143556	0.277673	0.167083	0.121066	0.189728	0.189642	0.268747	0	0.138407	0.140727	0.331935	0.209736	0.306472	0.251259	0.200818	0.374307	0.274917	0.336503	0.312372	0.318002	0.187726	0.290847	0.285025	0.177382	0.200704	0.199912	0.245371	0.240013	0.134648	0.37936	0.253127	0.143169	0.28258	0.290761	0.236394	0.217634	0.137777	0.178019	0.246195	0.193438	0.134716	0.225522	0	0.232388	0.241883	0.370911	0.26218	0.176267	0.247027	0.272006	0.312206	0.233834	0	0.187679	0.292994	0.236554	0.253911	0.262422	0.32608	0.131959	0.251694	0.263638	0.274942	0.22274	0	0.141372	0.190713	0.235399	0	0.176499	0.167799	0.168356	0.20965	0.130789	0.186573	0	0.221201	0.239684	0.20162	0	0.178466	0.285461	0.130695	0.175998	0.199743	0	0.205606	0.256246	0.217441	0.310156	0.239405	0.237664	0.124386	0.1968	0	0.268603	0.14044	0.221575	0.265243	0.287445	0.13689	0.236059	0	0.238551	0.288341	0.25111	0	0.280259	0.266922	0.107941	0.157431	0.181881	0.205132	0.272489	0.16405	0.205186	0.277187	0.130831	0.191012	0.24698	0.165	0.323767	0.246651	0.245973	0.326781	0.228784	0.324566	0.127642	0.317008	0.189552	0.27804	0.306661	0.189488	0.281455	0	0.185545	0.197105	0.132808	0.249346	0.136435	0.38297	0.22382	0.249808	0.254276	0.14269	0.191301	0.138882	0.311084	0.131243	0.260763	0.360218	0.200024	0.132687	0.251994	0.112544	0.374422	0.275	0.140924	0.330055	0.172862	0.275578	0.181698	0.250156	0.137703	0.198228	0	0.201046	0.32032	0.34152	0.245602	0.142026	0.164247	0.141293	0.246816	0.246387	0.197135	0	0.296306	0.176667	0.234577	0.281256	0.264502	0.172789	0	0.182978	0	0.3324	0
KIF1B_cluster9	0	0	0	2.063354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.650611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.677306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.764513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.436196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.905278	0	0	0	0	0	0	2.996491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NBPF1_cluster9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.168244	0	0	0	0	0	0	0	1.612861	0	1.828609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.711441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.337556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.888822	0	0	0	0	0	0	0	0	0	0	2.299278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MECR_cluster9	0	0	0	1.238891	0	0	0	0	0	0	0	0	0	0	1.311579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.809992	0	0	0	0	0	0	0	0	0	0	0	1.399496	0	0	0	0	1.660018	0	0	0	0	0	0	0	0	0	0	0	1.467535	0	1.638383	0	0	0	0	0	1.843489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.818546	0	0	0	0	0	0	0	0	0	1.486657	0	0	0	0	0	1.741307	0	0	0	1.681559	0	0	0	1.79781	0	0	0	0	0	0	1.813643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.848821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.80809	0	0	0	0	0	1.623047	0	0	0	0	0	0	0	0	0	0	0	1.628447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.500687	1.755685	0	0	0	0	0	0	0	0	0	0	0	0	0	1.761088	0	1.697345	0	0	0	0	0	0	0	2.068649	0	0	0	0	0	0	0	0	0	0	0	0	0	1.425696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.639027	0	0	0
SFPQ_cluster9	1.218002	0.818361	0	0.697353	1.058485	1.010337	0.765217	0	0	1.434657	0	1.378554	0	0.99279	0.738268	0	0.867153	0.730522	1.300042	0	0.920346	1.358687	1.016095	0	0	0	0	0.877067	0	0	0	0.638405	0.724728	0	1.018818	0.902739	0.753109	0	1.615695	0	1.220565	0.682421	0	1.094189	0	1.971279	1.114056	0.847676	0.953164	0	0	1.321439	1.28943	0.960683	0.923963	0.771495	1.576924	0	0.847788	1.127892	0	1.194998	0	0	0	0.922221	0.913272	0	0	0	0	0	0	0	0	1.238164	1.286864	0.794701	0	0	1.430385	0	1.14997	0	0	0	0.906702	0	1.18474	1.447633	0	1.883757	0	0	1.352254	0.958157	0	1.709386	0	0.836817	1.221098	1.692734	0	0	0	0	1.570812	1.285982	0	1.639427	2.318689	0	0.894372	0	1.425482	0	0	1.3578	1.35252	0.902468	0	0	0	0	1.551851	1.389356	1.465742	0.877752	0	0	2.076042	1.377146	0.9567	1.21959	1.322399	0.836061	1.777498	1.016966	1.734788	0	0	0	0.946289	0	0.843381	0.905261	1.323144	1.242831	0.94094	0.897357	1.628026	0.876755	0.916984	1.040673	0	1.665512	1.186895	0	0.889917	1.465404	0.848858	0	0.932597	1.330365	1.31942	0	1.709079	2.03316	1.45939	1.272556	1.017748	0.931924	0.887392	1.00712	0	1.197051	1.582381	0.895165	1.398728	0.985587	1.467634	1.536226	0	1.353776	1.748411	1.001419	0.912184	0	1.587646	0	0.841616	0.877316	0.982072	1.780573	0	0	0	1.345834	1.53936	1.774939	1.83411	0	0	1.169765	1.194605	1.711695	0	1.572721	1.437936	0	1.46011	0	1.432075	0	0	1.035002	0	0	0.955731	1.401895	0	0	2.006926	1.369263	0.93553	1.405468	0.946993	0	1.375823	0	1.595957	0	0.906564	1.762283	1.364082	1.715252	0	0	0	0.970821	0	0.946132	0.898426	1.13491	1.009104	1.518908	0	0	1.509619	1.389478	0.916131	1.261301	1.388614	1.731147	1.341693	0	1.444566	0	1.429913	1.012724	0.828141	0	0	0	0.811569	0.976527	0	1.25973	0.965712	1.268397	0	1.948089	1.616864	1.30473	0	0.967629	0
INPP5B_cluster9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.141782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.58525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.387149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.455488	0	0	0	0	0	0	2.272613	0	0	0	0	0	0	2.561191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.998637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HIVEP3_cluster9	0	2.653788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.007563	0	0	0	0	0	0	0	0	0	0	0	2.049595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.940003	0	0	0	0	0	2.088124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.168416	0	0	0	0	0	0	0	0	2.291181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.328366	0	0	0	0	2.087007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.892177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EBNA1BP2_cluster9	0	1.330609	0	0	0	0	0	0	1.155413	1.649445	0	1.584942	0.882264	0.93197	1.200383	0	0	0.839891	1.056896	0	1.496429	0.901881	0	1.186208	0	0	0	0	0	1.320367	0	0	0	0	0	1.037892	0	0	0	0	1.145792	0.78459	0	0.889543	0	0	0.905694	0.974585	0	0	0.988376	0	1.04827	1.562015	0	1.254404	1.813014	0	0.974714	0	0	0.971498	0	0	0	0	0.742463	0	0	0	0	0	0.871857	0	0	0	0	0.91368	1.130009	0.993059	0.822266	0.882359	0	0	1.673941	0	0	0	3.33648	0	1.439715	0	0	0	0	0	0	0	1.153694	2.151323	0	0	2.378502	0	0	1.126898	0	0	1.843434	1.884871	0	0	0	1.163465	0	1.161383	0	0	0	1.037579	2.874994	1.465159	0	1.582356	1.030097	1.129504	1.459411	1.009163	0	0	1.067436	0	1.099932	0	1.075072	0	1.021807	1.169222	1.410333	1.477721	1.106775	0	0	0	0.969648	1.4719	0	1.010386	0	0	1.080666	1.008018	0	1.196478	0	1.105545	1.364588	1.687359	1.023152	0	1.380196	0.992308	1.072222	0	1.072651	1.046986	1.964953	0	0	0	0	0	1.02025	1.637516	1.079435	1.685574	1.819286	1.029184	1.137124	0	0.974198	1.01973	0	0	0	0	0	0	1.490383	0	1.368419	0	1.129101	1.181922	0	0	0	1.094125	0.884912	1.580699	1.82619	0	1.116942	0	0.971179	0	0	1.278577	1.653215	0.956494	0	1.167442	1.164234	0.947165	1.531414	1.189954	1.046422	1.299427	1.553963	1.611779	1.124309	0	2.30739	0	1.521118	1.142602	0	0	1.581803	0.946631	0	2.047948	1.042291	1.654322	0	0	0	1.075941	1.068883	0	0	0	1.032933	0	0	2.016465	1.155305	0	1.002068	1.597504	0	1.025402	0	1.149113	1.090757	0	0	0	1.162476	0	1.34651	1.158331	0	1.009955	0	0	0	0	0	1.458294	1.084205	0	1.517811	0	1.681357	1.112497	1.1506
