Gene	mono_7822	mono_7824	mono_7825	mono_7828	mono_7830	mono_7832	mono_7833	mono_7835	mono_7837	mono_7843	mono_7845	mono_7846	mono_7848	mono_7855	mono_7856	mono_7857	mono_7863	mono_7864	mono_7866	mono_7870	mono_7871	mono_7877	mono_7879	mono_7881	mono_7886	mono_7887	mono_7888	mono_7889	mono_7890	mono_7891	mono_7896	mono_7897	mono_7900	mono_7904	mono_7909	mono_7912	mono_7913	mono_7914	mono_7917	mono_7918	mono_7919	mono_7922	mono_7924	mono_7925	mono_7930	mono_7932	mono_7934	mono_7937	mono_7938	mono_7945	mono_7820	mono_7851	mono_7872	mono_7875	mono_7882
SLC35E2B_cluster1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SKI_cluster1	0	0	0	0	0	2.010627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PARK7_cluster1	0.294445	0	0.238254	0.183875	0.263832	0.308655	0.264372	0.196284	0.125903	0.233614	0.137386	0.177017	0.363359	0.133898	0.327596	0.24514	0.341645	0.192695	0.202881	0	0.201909	0.24843	0.309347	0.252464	0.245764	0.250641	0.262485	0	0	0.138233	0.336042	0.143334	0.288341	0.187632	0.233614	0.26394	0.185846	0.195736	0.144368	0.264676	0.218217	0.215443	0.248394	0.219661	0.197646	0.229122	0.317251	0.198028	0.190615	0.137924	0.202705	0.201122	0.250493	0.270471	0.202296
KIF1B_cluster1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NBPF1_cluster1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.329582	0	0	0	3.162096	0	2.224035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MECR_cluster1	0	0	0	0	0	0	0	0	0	0	0	0	0	1.696202	0	0	2.498722	0	0	0	1.808607	0	0	0	0	0	0	0	0	0	0	0	0	2.376903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.747203	1.81574	0	0	0	0
SFPQ_cluster1	1.626306	0	0.980851	0	0	0	0	0	0	0	0	1.545908	1.384922	1.350244	0.953644	1.427221	0.99454	0.971581	0	1.036947	0	1.446375	0	0	0	0	0	0	0	0.985675	0	0	0	0	0	0	1.325179	0	0	0	0	0	0	0	1.409326	0	0	0	1.664659	0.983473	0	1.170948	0	1.36373	0
INPP5B_cluster1	0	0	0	0	0	0	0	0	0	0	0	0	2.439795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.564695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KIAA0754_cluster1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZFP69_cluster1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.990157	0	0	0	0	0	0	0	0	0	0	0	0	2.963503	0	0	0	0	0	0	0	0	0	0	0	0	0	2.718856	0	0	0	0	0	0	0	0	0	0	0
