Gene	E1210_141	E100_118	E203_34	E996_105	E902_410	E158_661	E1267_348	E1393_206	E955_67	E311_566	E1278_146	E1070_183	E438_3	E305_688	E1021_169	E1831_82	E1821_102	E1748_134	E1979_605	E357_302	E596_493	E1751_653	E1540_702	E765_63	E302_135	E1721_507	E1283_463	E1734_187	E1740_58	E253_487	E989_341	E730_701	E456_485	E1041_108	E957_73	E1885_391	E1342_233	E1990_322	E1999_191	E936_362	E912_255	E1806_364	E434_681	E956_190	E1249_332	E693_203	E120_329	E1377_684	E684_755	E1671_387	E453_418	E1594_186	E1085_751	E373_615	E1000_437	E462_495	E901_523	E1576_342	E819_187	E618_697	E1570_534	E1099_774	E35_345	E4_20	E1691_628	E235_329	E1837_412	E810_71	E40_102	E731_421	E308_108	E1268_64	E841_604	E1843_323	E626_545	E205_204	E798_20	E1616_646	E1491_354	E1575_381	E1569_523	E348_17	E1870_615	E972_638	E1807_202	E1333_147	E449_646	E1838_17	E857_654	E70_190	E1915_13	E1205_152	E324_274	E244_143	E517_79	E1542_530	E1689_601	E1781_13	E463_94	E1876_593	E1747_24	E938_786	E1515_200	E1288_503	E865_91	E592_311	E1089_400	E122_183	E199_505	E1752_213	E1968_287	E1520_223	E286_526	E886_745	E1335_499	E1238_756	E1090_278	E224_173	E259_657	E962_476	E1535_69	E980_607	E1322_393	E1057_427	E799_736	E1814_4	E1813_39	E1139_145	E1394_398	E183_627	E349_130	E1957_327	E1125_12	E493_742	E113_613	E1054_657	E1560_793	E791_28	E1706_659	E748_654	E644_359	E1494_58	E1336_96	E1111_150	E1705_639	E553_318	E1656_540	E1833_527	E159_446	E1340_304	E1369_265	E73_90	E245_325	E1106_41	E414_50	E1871_263	E1201_694	E1365_289	E837_791	E1323_134	E328_378	E1272_108	E1510_476	E1419_757	E515_694	E536_281	E1679_83	E887_487	E1180_498	E627_488	E1171_189	E266_86	E723_254	E262_664	E1926_399	E769_689	E764_781	E935_780	E1275_114	E66_532	E739_462	E933_226	E1805_218	E433_456	E868_447	E1452_36	E1222_130	E796_417	E295_673	E545_112	E691_23	E1243_630	E1104_416	E567_337	E580_166	E408_719	E850_321	E826_326	E1087_433	E885_503
ABCE1_hsc	0	0	0	0	0	0	0	0.0912833277057696	0	0	0	0	0	0	0	0	0.0229761552875931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.122957613202153	0.201109738385391	0	0	0	0	0	0	0.0565905195891019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.719015636348718	0	0.0355616152372808	0	0	0	0.00963859642314838	0	0.508424136953434	0	0	0	0	0	0	0	0.0256670510726183	0	0	0	0	0.0259799245644617	0	0	0	0	0	0	0	0	0	0	0.0799409093601378	0	0	0	0	0	0	0.0971134867337327	0	0.0578425452019988	0	0	0	1.16171910084194	0	0	0	0	0	0	0	0	0.0140848806401251	0	0	0	0	0	0.137193468309107	0.010893111571258	0	0	0	0	0	0.000476304673571428	0.000324228703760687	0	0	0	0	0.0649941183379625	0	0	0.0052851116608151	0.0120345949702411	0.235099206465217	0	0	0.424767648002335	0	0	0.0312240316617943	0	0	0	0	0	0	0	0.065904324207644	0	0.00992663142317986	0	0	0	0	0	0	0	0	0	0	0	0	0.0121073794367752	0.134371096401301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAPC5_hsc	0	0	0	0	0	0	0.104976070391459	0	0	0	0	0	0	0	0	0	0.40092292928923	0.0170285060690789	0	0	0	0	0	0	0	0	0.0871202394721948	0.209473331462349	0	0	0.046939783144825	0	0	0	0	1.07635835418717	0	0.600269965480378	0	0	0	0	0	0	0	0.406437663991087	0	0	2.07367674099575	0	0.0342933139195668	0	0	0	0.467950238502246	0	2.09994403705484	0	0	0.169988672637309	0	0	0	0	0	0	0	0	0	0.018777685247641	0	0	0.281707607815887	0	0	0	0	0.0108343280653241	0	0	0	0	0	0	0.496197713768906	0	0	0	0	0.0966431742328481	0	0	0	0	0	0	0.244295287478888	0	0	0	0	0	0	0	0.102076485599604	0	0	0	0	0	1.58287735408261	0	0	0	0	0	0.00535389236502654	0	0	0	0.376212778413514	0.359543160156414	0	1.44636098735707	0	0	0	0	0	0	0	0	0	0	0.0113241300201362	0	0	0	0	0	0	0	0	0	0	0	0	0	1.38241861987421	0	0	0	0	0	0	0	0	0	0	0	0	0	1.09452746767743	0.00303609005687455	0	0.00162288337779323	0	0	0	0	0.248153490086544	0.401663714863627	0	0	0	0	0	0	0	0	0	0.162016951449227	0	0	0.00520562930071156	0	0	0	0	1.83480368052223	0	0	0	0.0199038448638856	0	0	0	0	0	0
ANKRD32_hsc	0	0	0.428572258845449	0.00771538112622855	0	0	0.00727684636274483	0	0.0333314816267292	0	0	0.0265928788924487	0	0	0	0	0	0	0	0	0	0	0	1.22472193309139	0	0	0	0	0	0	0	0	1.72756082104425	0	0	0	0.00278647518294323	0	0	0	0.00253785574264746	0	0	0	0	0.000701123550477291	0.00309769153285017	0	0	0.0176457245622786	0	0	0	0	0	0	0	0	0	0	0	2.04281322068589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0237253437575116	0	0	0	0	0	0	0.0213459341373173	0	0.567662951966218	0	0	0	0	0	0	0.0419146823838353	0	1.53268177517403	0	0	0	0.194639158598431	0.00361601225482414	0	0	0.211288164190905	0	0	0	0	0	0	0	0	0	0	0	0	0.0830669079705238	0	0	0	0.00270995151396271	0	0	0.00192056403425183	0	0	0	0	0	0	0	0	0	0	0	0	1.01665757943186	0	0	0.00534794107042843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.53601359490966	0	0	0	0	0	0	0	0	0	0	0.648103485919029	0	0	0	2.64643966632358	0	0.0277284647706704	0	0
AP3M2_hsc	0	0	0	0	0	0	0	2.44928378152658	0	0	1.73193818734432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.79664668852639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0543218378026	0	0	0	0	1.63491009415234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.95631015517745	0	1.51971322343818	1.77544203346381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.79669889942735	0	0	2.31971307271443	0	1.9648802721997	0	0	0	0	0	0	0	0	0	2.02375873884581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.81561746499787	2.22011901352921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.97661278613752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.625940982435405	0	0	0	0	0	0	1.8332455230598	1.98332952258707	0	0	0	0	0	1.60502801548404	0	0	0	0	0	0	0	0	0	0
ATP5L_hsc	0	0	0	0	0	0	0	0.00967060436875711	0	0.0447874255099645	1.67892780980493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.791348450966223	0.473512482411675	0	0	0	0	0	0	0	0	0	0	0	0	0.205995051623391	0	0	0	0	0	0	0	0	0.184725189532884	0.540513463128813	0	0.12291033938687	0	0	0	0	0	2.15209603707937	0	0	0	0	0	0	0	0.432109386924462	0	0	0	0	0	1.27374235393928	0	0	0	0	0	0.0274521827543833	0	0	0	0	0	0	0	1.60738625832935	0	0	0	0	0	0.00892823509950121	0	0	0	0	0	0	0	1.95601533412975	0	0	0	0	0.196611588503495	0	0	0	0	0	0	0	0	0	0	0.57722873817732	0	0	0	0.203178656604814	0	0.532865133820362	0	0	0.640232605049097	0	0	0	0	1.21929418283338	0	0	0	0	1.83922372979103	1.78476858671514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.54196758876676	0.00370043298892175	0	0	0	0	0.107016731293649	0.118707367324298	0	0	0	0.0851159838255493	0	0	0	0	0	0.88363131200723	0	0	0	1.07110597366164	0.31132341221982	0	0.887981728256178	0	0	1.72435799722098	0	0	0.128917571139919
ATRAID_hsc	0	0	0.0523617849539458	0	0	0	0	0	0.111197926056524	0	0	0	0.223700001136921	0	0	0	0	0	0	0	0	0.0235211915657765	0.0576214059476593	0	0	0	0	0	0	0	0	0	0.00229807116981332	0	0	0	0	0	0	0	0	0	0.0101653822785352	0	0.0274306197786361	0	0	0	0	0	0.00127512981042001	0	0	0.0676235901719916	0	0	0	0	0	0	0.003264733208949	0	0	0	0	0.144464931765346	0	0	0	0	0.118499220677515	0	0	0	0.0216005860023693	0	0	0.0116951382112926	0	0.00298910276997781	0	0.756181151857018	0	0	0.0269307990899424	0	0	0	0	0	0	0	0	0.000689016642618216	0.039345408769587	0.0521915049752348	0	1.03533516322762	0.1285092276633	0	0	0	0	0	0	0	0.00184823563360319	0.00354869124554986	0	0	0	0	0	0	0	0	0	0	0.0771594762014529	0	0.0235409352695826	0	0	0	0	0	0	0.107676070076261	0	0	0	0	1.2017726755239	0	0	0.0035088304353811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0181253720041468	0	0	0	0	0.0133493103165254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00129492890136676	0
BRI3BP_hsc	0.107220674803742	0	0	0	0	0	0	0	0.0362941081527539	0	0.110787617748498	0	0.00133233712856169	0	0.0563345509009419	0	0	0.0396095519259523	0	0	0	0	0	0	0	0	0.00801607769005449	0	0	0	0	0	0	0	0.0288501024613364	0	0	0.496654180471557	0	0.0256952948442922	0	0	0	0	0.00244052147885966	0	0	0	0	0	0	0	0.00401121508148163	0	0.041357649557844	0	0	0	0	0	0	0	0	0.00676011518265708	0.666230817999884	0	0	0	0	0	0	0	0.50443896087219	0	0	0	0.00046933736953913	0	0	0	0	0.0015209086358458	0	0	0	0	0	0.0167995459053461	0.22793554485097	0	0	0	0	0	0	0	1.26516348133305	0	0	0	0.0286682756521622	0	0.0377051554853814	1.60735620012292	0	0	0	0.000429230338689154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0238320728666334	0	0	0.00525070793527718	0.023142522395794	0	0	0	0	0	0.0218756135823345	0	0	0	0	0.00259915210323885	0.0490759898120645	0	0	0.041373329836603	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0902252040245822	0	0	0	0	0	0	0	0	0	0	0.132302480655871	0	0	0	0	0	0	0	2.13998804457994	0	0	0	0	0	0	0	0.0424274247929776	0	0	0	0	0.0210882163561944	0.00620765816161585	0	0	0	0.0114210817968419	0	0.0819401144629884	0	0	0
C15orf40_hsc	2.30406769787629	1.82425964291993	0	1.81051702120091	0	1.88725584432342	0	0	0	1.56622620334359	0	0	0	0	0	0	0	0	0	0	1.15828992317297	1.76111666172568	0	0	0	0	0	0	0	0	0	0	0	0.42403185733687	0	0	0	0.480338148191793	0	0	0	0	0	0	0	0	0	0	0	0	0	1.91041344144014	0	0	0	0	0	0	0	0	0	0	1.65581276991815	0	1.25435849335468	0	0	0	0	0	0	0.598411437354878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.27394730149933	0	1.04023788022	0	0	0	0	0	0	0	0	0	0	0	0	0	1.57476263446075	0	0	1.22340436644885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0996835783651079	1.79421352080778	0	0	0	0	0	0	1.7033732405506	0	0	0	0	0	2.65889746031845	0	0	0	0	1.91666613682222	0	0	0	0	0	0	0	0	0.129276173753123	0	0	0	2.8670160396539	0	0	0	0	0	0	0	0	0	0	0	1.83392348625117	0	0	0	0	0	0	0	0	0	0	0	2.09371785232351	0	0	0	1.40712130012341	0	0	0	0	0	2.19332607809091	0	0	0	0	0	0	0
C19orf77_hsc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.186482412238019	0	0	0	0	0	0	0	0	1.74235633881968	0	0	0	0	0	0	0	0	0.0092018146826939	0	0.866592213038923	0	0	1.40048779259013	0	0	0.114307598907563	0	0	0	0	0	0	1.79974281197243	0	0	0	0	0	0	0	0	0	0	0	0	0	0.648853612147168	0	0	0	0	0	0	0	0	0	0	0	0	0	0.618096645768417	0	0	0	0	0	0	0	0	0	0.429985890492634	0.993910482915686	0	0	0	0	0	1.99976826812831	0	0	0	0	0	0.518068203337364	0.777855197628398	0	0	0	1.5057929721901	0	0	0	0	0	0	0	0.237086230649175	1.0827496657004	0	0	0	0	0.0679398929668178	0	0.471774112368536	0	0	0	0	0	0.471202968909063	0	0	0	0	1.87988879862564	0	0	0	0	0	0	0	0	0	0	0	0	0	1.98439425208615	0	0	0	0	0	0	0	0	0	0.739171113173489	0	0	0	0.820682444505316	0	0	0.816431554169744	0	0	0	0	0	0	0	0	0	0	0	0	1.84645585662979	0.324301470719457	0	0.298074312706945	1.04762209200323	0	0	0	0	0	0	0	0.0331521019138087	0	0	0	0.294216949000994	0	0	0	0	0	2.28592878767227	1.96370572145668	0
C20orf24_hsc	0	0	0	0.373989854496926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.472261763754406	0	1.54091115469646	0	0	0	0	2.22057821410446	0	0	0	0	0	0	1.17723447759944	0	0	0	0	0	0	0	0	0	0	0	0	1.72502081503595	0	0	0	0	0	0	0	0	0	0	1.7090835182537	0	0	0	0	0	0	0	0	0.111506583680381	0	0	0	0	0	0	0	0	1.47428249186963	0	0	0.0135648715843169	0	0	0	0	0	0	0	0	0	0	0	0.277276654514593	1.00887622430686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.86889920001756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.90885407903854	0.44855667421747	0	0	1.30649244461675	0	0	1.89390090132461	0	0	0	0	0	0	0.762758666181974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0287299906982269	1.26401014914469	0	0	0.559318896149106	0	0	1.00797303668115	0	0.091697561580728	2.20649660884608	0	0	1.70269992864578	0	0	0	0	0	0	0	0.21836356064134	2.0733310062966	0	0	0.000980948226980378	0	2.02382664203446	0	0	0	0	0	0	0	0	0	0	0	0	0	0.729416577749615	0
